Country,City,lat,lon,CountryCode,ContinentName
Syria,Aleppo,36.202105,37.13426,SY,Asia
Belgium,Eeklo,51.185272,3.56389,BE,Europe
DRC,Bukavu,-2.512302,28.848028,CD,Africa
Brazil,Rio,-22.906847,-43.172896,BR,South America
Kenya,Nairobi,-1.292066,36.821946,KE,Africa
South Sudan,,6.876992,31.306979,SS,Africa
Syria,Damascus,33.513807,36.276528,SY,Asia
Germany,Berlin,52.520007,13.404954,DE,Europe
South Sudan,Nasir,8.622864,33.07046,SS,Africa
Kenya,Kakuma,3.716764,34.856898,KE,Africa
South Sudan,Bentiu,9.231487,29.800503,SS,Africa
Luxembourg,Luxembourg City,49.611621,6.131935,LU,Europe
Ethiopia,,40.489673,9.145,,Africa
